month,season,day_of_week_dtp,time_of_day,is_weekend,dtp_count,dead_total,injured_total,pct_fatal,pct_speed_viol,pct_priority_viol,pct_alcohol,pct_pedestrian,pct_night
1,winter,4,Ночь,0.0,22,0,29,0.0,0.18181818181818182,0.045454545454545456,0.0,0.09090909090909091,1.0
1,winter,4,Утро,0.0,15,1,18,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.2,0.0
1,winter,5,Вечер,1.0,18,0,19,0.0,0.1111111111111111,0.1111111111111111,0.0,0.16666666666666666,0.0
1,winter,5,День,1.0,26,0,30,0.0,0.038461538461538464,0.07692307692307693,0.0,0.15384615384615385,0.0
1,winter,5,Ночь,1.0,16,0,26,0.0,0.3125,0.25,0.0,0.0,1.0
1,winter,5,Утро,1.0,12,0,30,0.0,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0
1,winter,6,Вечер,1.0,22,0,28,0.0,0.13636363636363635,0.09090909090909091,0.0,0.13636363636363635,0.0
1,winter,6,День,1.0,20,1,22,0.05,0.15,0.0,0.0,0.2,0.0
1,winter,6,Ночь,1.0,26,1,35,0.038461538461538464,0.2692307692307692,0.11538461538461539,0.0,0.15384615384615385,1.0
1,winter,6,Утро,1.0,9,0,12,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
1,Зима,0,Вечер,,134,4,151,0.029850746268656716,0.05970149253731343,0.06716417910447761,0.0,0.3880597014925373,0.0
1,Зима,0,День,,115,7,126,0.06086956521739131,0.06086956521739131,0.0782608695652174,0.0,0.22608695652173913,0.0
1,Зима,0,Ночь,,44,2,53,0.045454545454545456,0.25,0.045454545454545456,0.0,0.13636363636363635,1.0
1,Зима,0,Утро,,61,1,68,0.01639344262295082,0.11475409836065574,0.04918032786885246,0.0,0.32786885245901637,0.0
1,Зима,1,Вечер,,118,4,135,0.03389830508474576,0.1016949152542373,0.11016949152542373,0.0,0.4406779661016949,0.0
1,Зима,1,День,,105,0,121,0.0,0.0761904761904762,0.11428571428571428,0.0,0.3142857142857143,0.0
1,Зима,1,Ночь,,41,2,45,0.024390243902439025,0.14634146341463414,0.07317073170731707,0.0,0.1951219512195122,1.0
1,Зима,1,Утро,,62,3,65,0.04838709677419355,0.12903225806451613,0.08064516129032258,0.0,0.4032258064516129,0.0
1,Зима,2,Вечер,,108,5,125,0.037037037037037035,0.09259259259259259,0.12037037037037036,0.0,0.3611111111111111,0.0
1,Зима,2,День,,107,1,114,0.009345794392523364,0.08411214953271028,0.07476635514018691,0.0,0.2616822429906542,0.0
1,Зима,2,Ночь,,57,8,62,0.10526315789473684,0.3684210526315789,0.14035087719298245,0.0,0.15789473684210525,1.0
1,Зима,2,Утро,,67,5,75,0.07462686567164178,0.16417910447761194,0.07462686567164178,0.0,0.26865671641791045,0.0
1,Зима,3,Вечер,,127,3,152,0.023622047244094488,0.03937007874015748,0.07874015748031496,0.0,0.4251968503937008,0.0
1,Зима,3,День,,127,1,144,0.007874015748031496,0.03937007874015748,0.06299212598425197,0.0,0.25196850393700787,0.0
1,Зима,3,Ночь,,44,3,55,0.06818181818181818,0.25,0.045454545454545456,0.0,0.20454545454545456,1.0
1,Зима,3,Утро,,50,0,61,0.0,0.12,0.08,0.0,0.26,0.0
1,Зима,4,Вечер,,112,7,124,0.044642857142857144,0.08928571428571429,0.14285714285714285,0.0,0.2767857142857143,0.0
1,Зима,4,День,,134,4,151,0.029850746268656716,0.07462686567164178,0.05970149253731343,0.0,0.31343283582089554,0.0
1,Зима,4,Ночь,,64,2,79,0.03125,0.171875,0.078125,0.0,0.140625,1.0
1,Зима,4,Утро,,58,2,72,0.034482758620689655,0.1896551724137931,0.08620689655172414,0.0,0.3103448275862069,0.0
1,Зима,5,Вечер,,84,2,104,0.023809523809523808,0.10714285714285714,0.09523809523809523,0.0,0.17857142857142858,0.0
1,Зима,5,День,,99,1,113,0.010101010101010102,0.09183673469387756,0.07142857142857142,0.0,0.2755102040816326,0.0
1,Зима,5,Ночь,,56,0,63,0.0,0.26785714285714285,0.05357142857142857,0.0,0.07142857142857142,1.0
1,Зима,5,Утро,,23,1,24,0.043478260869565216,0.09090909090909091,0.13636363636363635,0.0,0.18181818181818182,0.0
1,Зима,6,Вечер,,92,4,108,0.043478260869565216,0.13043478260869565,0.06521739130434782,0.0,0.32608695652173914,0.0
