month,district_id,type_group,dtp_count,dead_total,injured_total,children_dead,children_injured,avg_risk_score
1,49,Столкновение,17,0,21,0,2,0.026518780298526317
1,50,Наезд на велосипедиста,1,0,1,0,0,0.057247204841733325
1,50,Наезд на пешехода,7,0,7,0,1,0.019734791850713133
1,50,Наезд на препятствие,4,0,5,0,0,0.014819348127572577
1,50,Наезд на стоящее ТС,2,0,3,0,0,0.015392049481097177
1,50,Падение пассажира,1,0,1,0,0,0.03699688277452142
1,50,Столкновение,13,0,18,0,1,0.018563930122618318
1,51,Наезд на пешехода,11,0,12,0,2,0.043690703491096404
1,51,Наезд на стоящее ТС,2,0,2,0,0,0.023401765272581546
1,51,Падение пассажира,1,0,1,0,1,0.009376401569850928
1,51,Прочее,1,0,1,0,0,0.051726982402121396
1,51,Столкновение,4,0,5,0,0,0.016379343136294872
1,52,Наезд на велосипедиста,1,0,1,0,0,0.06071049983325449
1,52,Наезд на пешехода,15,0,15,0,0,0.03504364865525162
1,52,Наезд на препятствие,3,0,4,0,0,0.03563491743606662
1,52,Падение пассажира,1,0,1,0,0,0.027894187995855073
1,52,Прочее,1,0,1,0,0,0.05158954775002087
1,52,Столкновение,5,0,6,0,3,0.015414380686540951
1,53,Наезд на велосипедиста,1,0,1,0,0,0.030381399141564305
1,53,Наезд на пешехода,6,0,6,0,0,0.03100071892842915
1,53,Наезд на препятствие,1,0,2,0,1,0.005813570514148351
1,53,Наезд на стоящее ТС,2,0,2,0,0,0.008433416882233789
1,53,Столкновение,6,0,11,0,2,0.0436111662360279
1,54,Наезд на пешехода,13,1,13,0,2,0.02178394288267506
1,54,Падение пассажира,1,0,1,0,0,0.008241870006645556
1,54,Прочее,1,0,1,0,0,0.04205316400032851
1,54,Столкновение,2,0,2,0,0,0.05045519024281353
1,55,Наезд на велосипедиста,1,0,1,0,0,0.009107694792940135
1,55,Наезд на пешехода,10,1,9,0,2,0.02945779871379301
1,55,Наезд на препятствие,2,0,2,0,0,0.03704084695965597
1,55,Наезд на стоящее ТС,1,0,2,0,0,0.008760521024140737
1,55,Прочее,1,0,1,0,0,0.25483660861291463
1,55,Столкновение,15,3,17,0,0,0.04473619849738926
1,56,Наезд на пешехода,2,0,2,0,1,0.051335492615028094
1,56,Столкновение,1,0,1,0,0,0.007301396287457783
1,57,Наезд на пешехода,12,0,12,0,3,0.03363923717547839
1,57,Наезд на препятствие,3,0,5,0,0,0.020731564310548102
1,57,Наезд на стоящее ТС,6,0,6,0,0,0.031908517023928544
1,57,Падение пассажира,3,0,3,0,0,0.04542191995396136
1,57,Столкновение,17,1,23,0,2,0.043277478712903925
1,58,Наезд на пешехода,12,0,12,0,2,0.020811976776902275
1,58,Наезд на препятствие,5,0,7,0,0,0.012523698473311654
1,58,Наезд на стоящее ТС,4,0,4,0,0,0.046337761619759374
1,58,Падение пассажира,3,0,3,0,1,0.00912428344469418
1,58,Столкновение,20,0,29,0,1,0.035079319658289414
1,59,Наезд на пешехода,10,1,9,0,0,0.026190557148873195
1,59,Наезд на стоящее ТС,1,0,2,0,0,0.0068696350854651166
1,59,Падение пассажира,2,0,2,0,0,0.01641184868112735
1,59,Столкновение,14,0,15,0,1,0.02165147318863867
1,60,Наезд на пешехода,6,0,6,0,1,0.015810342197007766
1,60,Наезд на препятствие,2,0,2,0,0,0.022991280566324233
1,60,Наезд на стоящее ТС,1,0,1,0,0,0.005058735727507868
1,60,Падение пассажира,1,0,1,0,0,0.007863692818910431
1,60,Столкновение,9,0,14,0,1,0.008813608217098569
1,61,Наезд на препятствие,1,0,1,0,0,0.0054353933264132265
1,61,Столкновение,1,0,1,0,1,0.0821247862864556
1,62,Наезд на пешехода,4,0,4,0,1,0.013944761913086873
1,62,Наезд на препятствие,2,2,3,0,0,0.008785772399446942
