dtp_id,type_group,severity,dead_count,injured_count,risk_score,has_speed_violation,has_priority_violation,has_alcohol_violation,has_pedestrian_viol,has_distance_viol,has_maneuver_viol,has_young_driver,has_novice_driver,has_truck,has_bus,has_taxi,has_motorcycle,has_carsharing,is_night_dtp,is_weekend,is_rush_hour,has_traffic_light,has_crosswalk,has_camera,is_intersection
414403027,Столкновение,0,0,1,0.0003781771877351238,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414404227,Наезд на препятствие,0,0,1,0.0024298190813269705,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414438427,Наезд на пешехода,0,0,1,0.008595164216749615,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414444627,Наезд на пешехода,0,0,1,0.008595164216749615,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414451427,Столкновение,0,0,2,0.007301396287457783,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414451627,Столкновение,0,0,1,0.0028482577565581034,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414456627,Столкновение,0,0,1,0.003306421525011599,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414458427,Столкновение,0,0,1,0.003817815017123296,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
414561027,Наезд на препятствие,0,0,1,0.00999336283602945,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет
414563627,Столкновение,0,0,2,0.0032773201996565806,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
414982827,Наезд на пешехода,0,0,1,0.008216987029014492,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет
415090227,Наезд на пешехода,0,0,1,0.009729695779954986,Нет,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет
416682427,Наезд на пешехода,0,0,1,0.006704278278073995,Нет,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Нет
