cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.62_37.62,2020-01-15 18:00:00,1.8,-4.9142876,none,0.0,8.0,31.311722,55.8,86.895935,997.4715,
55.62_37.73,2020-01-01 17:00:00,-4.35,-9.669623,none,0.0,4.0,14.386494,30.960001,66.79077,992.2282,
55.62_37.73,2020-01-09 07:00:00,-0.65,-6.668671,snow,0.8,6.0,24.122686,43.92,86.32681,990.88336,
55.62_37.74,2020-01-17 19:00:00,1.8,-2.2486808,none,0.0,3.0,14.05845,23.759998,93.076385,1005.6912,
55.63_37.44,2020-01-09 07:00:00,-1.0,-7.2751455,snow,0.8,6.0,25.7041,47.88,87.256966,986.7326,
55.63_37.53,2020-01-23 08:00:00,-3.8,-10.55361,none,0.0,2.0,25.189713,57.96,72.90064,973.57635,
55.63_37.61,2020-01-23 11:00:00,-4.1,-11.000234,snow,0.1,2.0,25.478743,52.56,67.90386,983.69916,
55.63_37.62,2020-01-17 17:00:00,2.2,-1.7587223,none,0.0,3.0,13.722565,24.48,92.1002,1003.2642,
55.63_37.66,2020-01-17 20:00:00,1.25,-2.8628783,none,0.0,2.0,14.05845,25.919998,94.061165,1005.0721,
55.64_37.36,2020-01-05 11:00:00,0.25,-4.4152784,none,0.0,5.0,14.277983,26.28,77.049835,986.4815,
55.64_37.45,2020-01-05 18:00:00,-0.65,-4.6728954,none,0.0,5.0,9.9571085,17.28,82.87033,991.2008,
55.64_37.54,2020-01-21 17:00:00,2.95,-3.0608234,rain,0.2,2.0,28.137634,50.039997,89.2253,974.94977,
55.64_37.66,2020-01-17 17:00:00,2.9,-1.0889921,none,0.0,3.0,14.044615,26.28,88.26547,1005.72546,
55.64_37.7,2020-01-08 19:00:00,-0.35,-5.4626913,none,0.0,5.0,18.089775,32.399998,85.72185,1001.204,
55.64_37.71,2020-01-23 11:00:00,-3.9,-10.825699,none,0.0,2.0,25.455843,47.16,65.08227,987.16675,
55.64_37.74,2020-01-08 17:00:00,-0.55,-5.606167,none,0.0,5.0,17.974781,30.960001,88.92904,1004.74286,
55.64_37.75,2020-01-15 10:00:00,0.65,-5.3567266,none,0.0,9.0,26.044699,45.36,91.66886,1006.14526,
55.64_37.76,2020-01-21 14:00:00,3.25,-2.6976252,none,0.0,2.0,27.362366,53.639996,85.491,990.1028,
55.65_37.39,2020-01-05 00:00:00,0.65,-3.8629947,none,0.0,6.0,15.349684,29.88,88.707115,977.936,
55.65_37.4,2020-01-15 18:00:00,1.65,-4.677794,none,0.0,8.0,28.766228,53.28,88.4727,997.21295,
55.65_37.49,2020-01-15 17:00:00,1.65,-4.677794,none,0.0,8.0,28.766228,53.28,88.4727,995.60956,
55.65_37.54,2020-01-17 21:00:00,1.8,-2.0722175,none,0.0,3.0,12.959999,24.48,93.7491,995.8364,
55.65_37.62,2020-01-04 21:00:00,0.3,-4.668146,none,0.0,6.0,18.079027,33.12,88.3518,975.9319,
55.65_37.72,2020-01-09 11:00:00,0.7,-4.4172096,snow,0.1,8.0,19.296133,31.319998,87.1036,994.5924,
55.65_37.73,2020-01-17 12:00:00,3.8,-0.22762108,none,0.0,3.0,14.830076,25.56,85.55094,1009.91327,
55.65_37.73,2020-01-21 18:00:00,3.15,-2.747587,rain,0.1,2.0,27.419146,47.88,88.287926,987.9243,
55.65_37.74,2020-01-17 20:00:00,1.6,-2.2632523,none,0.0,2.0,12.620554,24.119999,93.40177,1011.12177,
55.65_37.75,2020-01-15 12:00:00,0.45,-5.8528996,none,0.0,9.0,27.722336,48.6,90.65738,1006.7238,
55.65_37.76,2020-01-14 08:00:00,-1.65,-6.6660614,none,0.0,9.0,16.808569,29.519999,89.497444,1001.65515,
55.65_37.77,2020-01-18 17:00:00,-0.1,-4.82256,none,0.0,3.0,17.339897,29.88,97.48817,1009.59393,
55.66_37.4,2020-01-17 17:00:00,2.05,-1.7562766,none,0.0,3.0,12.620554,23.759998,92.75593,1003.59784,
55.66_37.41,2020-01-03 11:00:00,1.85,-2.75461,none,0.0,5.0,17.377226,33.12,89.78059,989.7672,
55.66_37.42,2020-01-16 20:00:00,3.0,-2.0154297,none,0.0,5.0,20.969805,38.519997,87.01525,994.84515,
55.66_37.43,2020-01-23 11:00:00,-4.25,-10.958657,snow,0.1,3.0,24.023088,46.44,67.3402,982.45197,
55.66_37.52,2020-01-11 09:00:00,-0.75,-4.827904,snow,0.8,7.0,12.0694,20.519999,96.05743,987.5392,
55.66_37.54,2020-01-16 00:00:00,1.8,-4.6632338,rain,0.1,7.0,29.853966,54.36,88.48603,992.5093,
55.66_37.54,2020-01-16 18:00:00,2.6,-2.8108025,none,0.0,4.0,23.400002,40.32,87.92124,989.43164,
55.66_37.54,2020-01-16 19:00:00,2.75,-2.5936348,none,0.0,4.0,23.051247,41.399998,87.61924,992.20483,
55.66_37.57,2020-01-21 16:00:00,2.85,-3.1372757,none,0.0,3.0,27.804028,49.68,88.89732,978.80164,
55.66_37.59,2020-01-01 21:00:00,-1.95,-6.9261613,none,0.0,4.0,14.408997,26.28,74.666145,991.7063,
55.66_37.73,2020-01-17 19:00:00,1.8,-2.2486808,none,0.0,4.0,14.05845,23.759998,93.076385,1010.05914,
55.66_37.74,2020-01-21 13:00:00,3.25,-2.6976252,none,0.0,3.0,27.362366,53.639996,85.491,990.1028,
55.66_37.75,2020-01-10 09:00:00,0.05,-4.104668,none,0.0,7.0,12.261158,27.0,88.32921,1000.1214,
55.66_37.76,2020-01-21 07:00:00,1.1,-4.8147874,snow,0.2,3.0,24.717085,43.199997,84.32189,996.33936,
55.66_37.8,2020-01-13 09:00:00,1.35,-3.7617233,none,0.0,10.0,20.532627,36.0,91.052444,988.08685,
55.67_37.43,2020-01-10 07:00:00,0.2,-4.3467946,none,0.0,7.0,15.141414,27.359999,88.66762,991.85187,
55.67_37.44,2020-01-11 11:00:00,-0.7,-4.8120103,snow,1.0,9.0,12.303366,23.039999,95.70768,989.81647,
55.67_37.49,2020-01-15 21:00:00,1.75,-4.863791,rain,0.1,8.0,30.466295,54.0,86.26179,995.5791,
55.67_37.49,2020-01-18 01:00:00,1.5,-2.6073637,none,0.0,2.0,13.698934,24.84,90.405754,1003.82043,
55.67_37.51,2020-01-21 20:00:00,2.6,-3.3008265,rain,1.0,2.0,27.908709,48.96,94.46138,975.2225,
55.67_37.52,2020-01-16 18:00:00,2.95,-2.3607273,none,0.0,4.0,22.881956,40.32,86.69789,991.90576,
55.67_37.53,2020-01-13 18:00:00,1.3,-3.5251634,none,0.0,8.0,18.514643,33.48,91.048935,983.6138,
55.67_37.54,2020-01-07 19:00:00,-0.8,-5.1562304,snow,0.1,5.0,12.72283,21.599998,87.27668,997.5464,
55.67_37.55,2020-01-14 18:00:00,0.15,-4.051024,none,0.0,9.0,13.358861,23.4,92.98532,995.49725,
55.67_37.55,2020-01-16 20:00:00,3.0,-2.2942853,none,0.0,5.0,22.881956,40.32,87.01525,992.4469,
55.67_37.56,2020-01-16 06:00:00,1.65,-4.3019795,none,0.0,7.0,26.562046,47.519997,90.74467,992.8134,
55.67_37.57,2020-01-01 11:00:00,-1.5,-8.317675,none,0.0,5.0,27.181787,52.199997,73.34251,983.3913,
55.67_37.61,2020-01-19 12:00:00,0.1,-4.5531015,none,0.0,3.0,14.408997,29.519999,79.35469,1002.6901,
55.67_37.66,2020-01-16 06:00:00,1.8,-3.9890592,none,0.0,7.0,25.49908,42.12,90.101875,997.0626,
55.67_37.74,2020-01-01 03:00:00,0.7,-3.9001014,rain,0.1,5.0,17.0763,30.599998,95.755844,980.278,
55.67_37.77,2020-01-13 04:00:00,1.1,-4.428483,none,0.0,10.0,23.023119,39.96,90.37578,989.299,
55.67_37.78,2020-01-11 08:00:00,-0.55,-4.355434,snow,0.7,8.0,10.446206,17.28,96.41586,996.9504,
55.68_37.28,2020-01-01 03:00:00,0.65,-3.5703514,rain,0.1,5.0,14.57889,32.399998,96.80035,972.8945,
55.68_37.45,2020-01-17 18:00:00,2.05,-1.7562766,none,0.0,2.0,12.620554,23.759998,92.75593,1004.34247,
55.68_37.56,2020-01-02 01:00:00,-1.5,-6.6789975,none,0.0,4.0,16.854767,29.88,80.31015,991.0854,
55.68_37.56,2020-01-18 22:00:00,-1.0,-6.003175,none,0.0,3.0,17.610588,32.039997,91.8982,1000.85,
55.68_37.57,2020-01-21 08:00:00,0.95,-5.1257706,snow,0.2,3.0,25.772078,45.719997,84.92461,989.5488,
55.68_37.62,2020-01-19 19:00:00,-0.8,-5.6656265,none,0.0,3.0,16.394829,29.16,88.57913,1008.634,
55.68_37.63,2020-01-10 14:00:00,0.55,-3.6495295,none,0.0,7.0,12.287555,26.28,83.33088,995.21564,
55.68_37.64,2020-01-15 15:00:00,1.4,-5.381887,none,0.0,9.0,31.361351,50.76,86.8558,1000.5569,
55.68_37.66,2020-01-19 12:00:00,0.3,-4.490062,none,0.0,4.0,15.39184,28.8,78.50524,1009.1467,
55.68_37.68,2020-01-13 16:00:00,1.6,-3.4559138,none,0.0,10.0,20.150354,32.399998,89.436066,991.3704,
55.68_37.68,2020-01-13 21:00:00,0.45,-4.3356266,none,0.0,10.0,17.418196,28.8,91.32186,995.87195,
55.68_37.72,2020-01-11 13:00:00,-0.65,-4.8408656,snow,0.4,10.0,12.413477,20.16,92.2595,997.98114,
55.68_37.75,2020-01-09 02:00:00,-0.65,-6.5664973,none,0.0,6.0,23.333443,40.32,85.688995,997.2979,
55.68_37.76,2020-01-21 17:00:00,3.05,-2.8765593,none,0.0,2.0,27.44513,47.88,87.96277,985.1554,
55.68_37.76,2020-01-23 08:00:00,-3.35,-10.2596445,snow,0.1,2.0,26.576681,52.199997,73.27016,984.7384,
55.68_37.84,2020-01-05 17:00:00,-0.25,-4.5209913,none,0.0,5.0,11.113451,23.4,76.67891,996.5832,
55.68_37.86,2020-01-19 17:00:00,-0.45,-4.960993,none,0.0,2.0,13.049689,23.759998,79.865135,1008.867,
55.68_37.86,2020-01-24 22:00:00,0.8,-3.9481983,snow,0.4,3.0,18.359999,33.48,96.80422,980.7558,
55.68_37.93,2020-01-14 15:00:00,0.25,-3.8686006,none,0.0,9.0,12.496719,26.28,90.31159,1001.9026,
55.69_37.41,2020-01-16 23:00:00,2.3,-2.0582376,none,0.0,5.0,16.575644,32.760002,92.10639,997.6337,
55.69_37.44,2020-01-12 00:00:00,-4.0,-7.8058453,none,0.0,10.0,7.2,19.44,94.51594,998.7625,
55.69_37.56,2020-01-06 10:00:00,-1.45,-5.323359,none,0.0,6.0,7.8625183,18.0,79.71537,1002.1955,
55.69_37.59,2020-01-09 13:00:00,1.4,-3.41896,none,0.0,8.0,18.0036,33.48,87.49058,988.1911,
55.69_37.6,2020-01-21 08:00:00,0.95,-5.1257706,snow,0.2,3.0,25.772078,45.719997,84.92461,991.76227,
55.69_37.62,2020-01-04 21:00:00,0.6,-4.3058043,none,0.0,6.0,18.043148,32.399998,89.02769,981.75305,
