dtp_id,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m,sunrise_ts,sunset_ts,daylight_minutes,is_twilight,is_dark,is_daylight,day_of_week,is_weekend,is_holiday,holiday_name,season,ice_risk,low_visibility_flag,bad_weather_flag,dark_without_lights_flag
414577227,-1.15,-6.3495264,none,0.0,4.0,17.727943,35.28,83.73903,969.9543,,2020-01-04 08:58:21.485217,2020-01-04 16:11:12.010256,432.84208398333334,0,0,1,5,1,1,Новогодние каникулы,winter,1,0,1,0
414582427,-2.3,-7.7972355,none,0.0,5.0,19.64228,32.399998,90.11523,983.30566,,2020-01-04 08:59:26.832782,2020-01-04 16:09:34.456675,430.12706488333333,0,1,0,5,1,1,Новогодние каникулы,winter,0,0,1,1
414591227,-0.95,-6.0012197,snow,0.5,5.0,17.399586,38.88,87.58626,979.88715,,2020-01-04 08:58:29.059937,2020-01-04 16:08:59.721134,430.51101995000005,1,0,0,5,1,1,Новогодние каникулы,winter,1,0,1,0
414592227,-2.3,-7.7972355,none,0.0,5.0,19.64228,32.399998,90.11523,983.79974,,2020-01-04 08:59:10.080786,2020-01-04 16:09:48.955094,430.6479051333333,0,1,0,5,1,1,Новогодние каникулы,winter,0,0,1,1
414604227,-0.45,-5.425347,none,0.0,6.0,17.10284,34.56,86.02885,980.3105,,2020-01-04 08:59:23.403778,2020-01-04 16:08:43.049751,429.3274328833333,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414604427,0.1,-4.859225,none,0.0,5.0,17.49615,32.760002,86.08762,981.0072,,2020-01-04 08:57:38.130843,2020-01-04 16:09:15.175088,431.6174040833333,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414608627,0.35,-4.5659504,none,0.0,6.0,17.673029,30.239998,87.71049,982.6624,,2020-01-04 08:58:23.662971,2020-01-04 16:10:03.697355,431.6672397333333,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414610027,0.15,-4.450132,none,0.0,7.0,15.459054,30.239998,88.66322,973.37,,2020-01-04 09:01:58.776621,2020-01-04 16:10:22.718649,428.39903380000004,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414612427,0.6,-4.3058043,none,0.0,6.0,18.043148,32.399998,89.02769,981.75305,,2020-01-04 08:58:18.590329,2020-01-04 16:10:18.386648,431.99660531666666,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414615427,0.3,-4.5064373,none,0.0,6.0,16.87398,29.16,87.70574,980.7515,,2020-01-04 08:58:50.129416,2020-01-04 16:09:47.342225,430.9535468166667,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414616827,0.6,-4.3058043,none,0.0,5.0,18.043148,32.399998,89.02769,975.7914,,2020-01-04 08:57:48.211605,2020-01-04 16:10:59.788982,433.19295628333333,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414709427,-0.75,-6.0182714,snow,0.1,6.0,18.844202,38.519997,85.996635,977.84564,,2020-01-04 08:58:28.095796,2020-01-04 16:08:38.061709,430.16609855,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
414737227,-2.05,-8.011862,none,0.0,5.0,22.380884,43.92,84.89436,983.90735,,2020-01-04 08:59:18.849250,2020-01-04 16:08:46.549081,429.46166385000004,0,1,0,5,1,1,Новогодние каникулы,winter,0,0,1,1
414792827,-0.95,-6.5366154,snow,0.3,5.0,20.808498,37.44,85.656044,980.0833,,2020-01-04 08:59:21.895087,2020-01-04 16:10:13.528714,430.86056045,0,0,1,5,1,1,Новогодние каникулы,winter,1,0,1,0
414887627,-1.45,-6.9314175,none,0.0,5.0,19.914215,36.0,87.537994,987.9288,,2020-01-04 08:59:16.686981,2020-01-04 16:09:09.642655,429.8825945666667,0,1,0,5,1,1,Новогодние каникулы,winter,1,0,1,1
415443627,-1.0,-6.084674,snow,0.5,5.0,17.58481,36.0,87.58144,982.4613,,2020-01-04 08:58:08.413255,2020-01-04 16:09:43.337405,431.58206916666666,1,0,0,5,1,1,Новогодние каникулы,winter,1,0,1,0
